class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
140,2919,Hippocampus histrix,Spiny Seahorse,Syngnathidae,Hippocampus,0.8333333333333334,1.0,0.9090909090909091,10,1.0
141,2973,Pristimantis achatinus,Cachabi Robber Frog,Craugastoridae,Pristimantis,1.0,0.9,0.9473684210526315,10,0.9
142,3014,Litoria fallax,Eastern Dwarf Treefrog,Pelodryadidae,Litoria,0.9090909090909091,1.0,0.9523809523809523,10,1.0
143,3040,Rana aurora,Northern Red-legged Frog,Ranidae,Rana,0.6153846153846154,0.8,0.6956521739130435,10,0.8
144,3070,Aneides aeneus,Green Salamander,Plethodontidae,Aneides,1.0,1.0,1.0,10,1.0
145,3107,Triturus carnifex,Italian Crested Newt,Salamandridae,Triturus,0.7777777777777778,0.7,0.7368421052631579,10,0.7
146,3120,Aquila heliaca,Imperial Eagle,Accipitridae,Aquila,0.7777777777777778,0.7,0.7368421052631579,10,0.7
147,3177,Pernis apivorus,European Honey-buzzard,Accipitridae,Pernis,0.8,0.8,0.8,10,0.8
148,3199,Anas georgica,Yellow-billed Pintail,Anatidae,Anas,1.0,0.9,0.9473684210526315,10,0.9
149,3244,Cygnus olor,Mute Swan,Anatidae,Cygnus,1.0,0.8,0.8888888888888888,10,0.8
150,3258,Melanitta perspicillata,Surf Scoter,Anatidae,Melanitta,1.0,0.8,0.8888888888888888,10,0.8
151,3259,Mergellus albellus,Smew,Anatidae,Mergellus,0.9,0.9,0.9,10,0.9
152,3260,Mergus merganser,Common Merganser,Anatidae,Mergus,0.9,0.9,0.9,10,0.9
153,3306,Archilochus alexandri,Black-chinned Hummingbird,Trochilidae,Archilochus,0.6923076923076923,0.9,0.782608695652174,10,0.9
154,3321,Heliodoxa jacula,Green-crowned Brilliant,Trochilidae,Heliodoxa,0.9,0.9,0.9,10,0.9
155,3358,Charadrius obscurus,Red-breasted Dotterel,Charadriidae,Charadrius,0.875,0.7,0.7777777777777778,10,0.7
156,3364,Charadrius wilsonia,Wilson's Plover,Charadriidae,Charadrius,0.9090909090909091,1.0,0.9523809523809523,10,1.0
157,3367,Pluvialis dominica,American Golden-Plover,Charadriidae,Pluvialis,0.9090909090909091,1.0,0.9523809523809523,10,1.0
158,3372,Vanellus coronatus,Crowned Lapwing,Charadriidae,Vanellus,1.0,0.8,0.8888888888888888,10,0.8
159,3385,Haematopus palliatus,American Oystercatcher,Haematopodidae,Haematopus,0.9,0.9,0.9,10,0.9
160,3398,Chroicocephalus hartlaubii,Hartlaub's Gull,Laridae,Chroicocephalus,0.625,0.5,0.5555555555555556,10,0.5
161,3402,Chroicocephalus ridibundus,Black-headed Gull,Laridae,Chroicocephalus,0.75,0.6,0.6666666666666666,10,0.6
162,3410,Larus cachinnans,Caspian Gull,Laridae,Larus,0.5833333333333334,0.7,0.6363636363636364,10,0.7
163,3417,Larus glaucescens,Glaucous-winged Gull,Laridae,Larus,0.5,0.6,0.5454545454545454,10,0.6
164,3481,Numenius madagascariensis,Far Eastern Curlew,Scolopacidae,Numenius,0.9090909090909091,1.0,0.9523809523809523,10,1.0
165,3490,Tringa glareola,Wood Sandpiper,Scolopacidae,Tringa,0.9,0.9,0.9,10,0.9
166,3529,Patagioenas flavirostris,Red-billed Pigeon,Columbidae,Patagioenas,1.0,0.8,0.8888888888888888,10,0.8
167,3635,Pavo cristatus,Common Peafowl,Phasianidae,Pavo,1.0,1.0,1.0,10,1.0
168,3673,Zapornia flavirostra,Black Crake,Rallidae,Zapornia,1.0,1.0,1.0,10,1.0
169,3715,Passerina ciris,Painted Bunting,Cardinalidae,Passerina,0.9090909090909091,1.0,0.9523809523809523,10,1.0
170,3719,Pheucticus chrysopeplus,Yellow Grosbeak,Cardinalidae,Pheucticus,0.6363636363636364,0.7,0.6666666666666666,10,0.7
171,3728,Certhia americana,Brown Creeper,Certhiidae,Certhia,0.7777777777777778,0.7,0.7368421052631579,10,0.7
172,3759,Corvus ossifragus,Fish Crow,Corvidae,Corvus,0.6923076923076923,0.9,0.782608695652174,10,0.9
173,3777,Psilorhinus morio,Brown Jay,Corvidae,Psilorhinus,0.8571428571428571,0.6,0.7058823529411765,10,0.6
174,3778,Pyrrhocorax graculus,Alpine Chough,Corvidae,Pyrrhocorax,1.0,0.8,0.8888888888888888,10,0.8
175,3804,Taeniopygia bichenovii,Double-barred Finch,Estrildidae,Taeniopygia,0.8888888888888888,0.8,0.8421052631578947,10,0.8
176,3828,Loxia curvirostra,Red Crossbill,Fringillidae,Loxia,0.7,0.7,0.7,10,0.7
177,3849,Hirundo rustica,Barn Swallow,Hirundinidae,Hirundo,0.8571428571428571,0.6,0.7058823529411765,10,0.6
178,3859,Riparia riparia,Bank Swallow,Hirundinidae,Riparia,0.7,0.7,0.7,10,0.7
179,3860,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Hirundinidae,Stelgidopteryx,0.9,0.9,0.9,10,0.9
180,3865,Tachycineta thalassina,Violet-green Swallow,Hirundinidae,Tachycineta,1.0,0.8,0.8888888888888888,10,0.8
