class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
85,1748,Peridea angulosa,Angulose Prominent Moth,Notodontidae,Peridea,0.7272727272727273,0.8,0.7619047619047619,10,0.8
86,1802,Brenthis ino,Lesser Marbled Fritillary,Nymphalidae,Brenthis,1.0,0.8,0.8888888888888888,10,0.8
87,1838,Doxocopa laure,Silver Emperor,Nymphalidae,Doxocopa,0.5,0.5,0.5,10,0.5
88,1840,Dryas iulia,Julia Butterfly,Nymphalidae,Dryas,0.8,0.8,0.8,10,0.8
89,1854,Euphydryas phaeton,Baltimore Checkerspot,Nymphalidae,Euphydryas,0.8888888888888888,0.8,0.8421052631578947,10,0.8
90,1908,Limenitis arthemis,Red-spotted Admiral,Nymphalidae,Limenitis,1.0,0.3,0.46153846153846156,10,0.3
91,1938,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,0.75,0.3,0.42857142857142855,10,0.3
92,1968,Smyrna blomfildia,Blomfild's Beauty,Nymphalidae,Smyrna,0.5,0.4,0.4444444444444444,10,0.4
93,2009,Papilio anactus,Dainty Swallowtail,Papilionidae,Papilio,1.0,0.5,0.6666666666666666,10,0.5
94,2034,Papilio thoas,Thoas Swallowtail,Papilionidae,Papilio,0.7142857142857143,0.5,0.5882352941176471,10,0.5
95,2073,Eurema daira,Barred Yellow,Pieridae,Eurema,0.5,0.2,0.2857142857142857,10,0.2
96,2077,Glutophrissa drusilla,Florida White,Pieridae,Glutophrissa,0.2903225806451613,0.9,0.43902439024390244,10,0.9
97,2092,Pieris brassicae,Large White Butterfly,Pieridae,Pieris,0.6666666666666666,0.2,0.3076923076923077,10,0.2
98,2129,Moodna ostrinella,Darker Moodna Moth,Pyralidae,Moodna,1.0,0.4,0.5714285714285714,10,0.4
99,2139,Calephelis nemesis,Fatal Metalmark,Riodinidae,Calephelis,0.7142857142857143,0.5,0.5882352941176471,10,0.5
100,2145,Melanis pixe,Red-bordered Pixie,Riodinidae,Melanis,0.8181818181818182,0.9,0.8571428571428571,10,0.9
101,2149,Anisota senatoria,Orange-tipped Oakworm Moth,Saturniidae,Anisota,0.7777777777777778,0.7,0.7368421052631579,10,0.7
102,2161,Hemileuca maia,Buck Moth,Saturniidae,Hemileuca,0.3333333333333333,0.2,0.25,10,0.2
103,2166,Saturnia pavonia,Small Emperor Moth,Saturniidae,Saturnia,0.16,0.8,0.26666666666666666,10,0.8
104,2167,Saturnia pyri,Giant Peacock Moth,Saturniidae,Saturnia,0.875,0.7,0.7777777777777778,10,0.7
105,2185,Dolba hyloeus,Pawpaw Sphinx Moth,Sphingidae,Dolba,0.4,0.2,0.26666666666666666,10,0.2
106,2198,Hippotion scrofa,Hippotion scrofa,Sphingidae,Hippotion,0.8571428571428571,0.6,0.7058823529411765,10,0.6
107,2211,Paonias excaecata,Blinded Sphinx Moth,Sphingidae,Paonias,1.0,0.3,0.46153846153846156,10,0.3
108,2222,Sphinx pinastri,Pine Hawk-Moth,Sphingidae,Sphinx,0.375,0.3,0.3333333333333333,10,0.3
109,2235,Argyrotaenia velutinana,Red-banded Leafroller,Tortricidae,Argyrotaenia,0.7,0.7,0.7,10,0.7
110,2246,Cydia latiferreana,Filbertworm Moth,Tortricidae,Cydia,0.875,0.7,0.7777777777777778,10,0.7
111,2249,Epiblema otiosana,Bidens Borer Moth,Tortricidae,Epiblema,1.0,0.4,0.5714285714285714,10,0.4
112,2262,Platynota rostrana,Omnivorous Platynota Moth,Tortricidae,Platynota,0.7142857142857143,0.5,0.5882352941176471,10,0.5
113,2284,Orthodera ministralis,Australian Green Mantis,Mantidae,Orthodera,0.4,0.4,0.4,10,0.4
114,2297,Chrysopa oculata,Chrysopa oculata,Chrysopidae,Chrysopa,0.42857142857142855,0.6,0.5,10,0.6
115,2303,Libelloides coccajus,Owly Sulphur,Myrmeleontidae,Libelloides,0.5384615384615384,0.7,0.6086956521739131,10,0.7
116,2332,Calopteryx maculata,Ebony Jewelwing,Calopterygidae,Calopteryx,0.5454545454545454,0.6,0.5714285714285714,10,0.6
117,2369,Enallagma cyathigerum,Common Blue Damselfly,Coenagrionidae,Enallagma,0.38461538461538464,0.5,0.43478260869565216,10,0.5
118,2375,Enallagma geminatum,Skimming Bluet,Coenagrionidae,Enallagma,0.0,0.0,0.0,10,0.0
119,2427,Erpetogomphus designatus,Eastern Ringtail,Gomphidae,Erpetogomphus,0.625,0.5,0.5555555555555556,10,0.5
120,2432,Hagenius brevistylus,Dragonhunter,Gomphidae,Hagenius,0.0,0.0,0.0,10,0.0
121,2463,Lestes virens,Small Spreadwing,Lestidae,Lestes,0.45454545454545453,1.0,0.625,10,1.0
122,2527,Neurothemis taiwanensis,Neurothemis taiwanensis,Libellulidae,Neurothemis,1.0,0.5,0.6666666666666666,10,0.5
123,2628,Pseudochorthippus curtipennis,Marsh meadow grasshopper,Acrididae,Pseudochorthippus,0.15789473684210525,0.3,0.20689655172413793,10,0.3
124,2633,Schistocerca obscura,Obscure Bird Grasshopper,Acrididae,Schistocerca,0.13043478260869565,0.3,0.18181818181818182,10,0.3
125,2668,Conocephalus fuscus,Long-winged Conehead,Tettigoniidae,Conocephalus,0.15384615384615385,0.2,0.17391304347826086,10,0.2
126,2702,Faxonius virilis,Virile Crayfish,Cambaridae,Faxonius,0.3333333333333333,0.2,0.25,10,0.2
127,2736,Petrolisthes elongatus,New Zealand Half Crab,Porcellanidae,Petrolisthes,0.4,0.2,0.26666666666666666,10,0.2
128,2769,Pimephales notatus,Bluntnose Minnow,Cyprinidae,Pimephales,1.0,0.2,0.3333333333333333,10,0.2
129,2770,Rhinichthys atratulus,Blacknose Dace,Cyprinidae,Rhinichthys,0.3333333333333333,0.3,0.3157894736842105,10,0.3
130,2773,Squalius cephalus,Chub,Cyprinidae,Squalius,0.5,0.2,0.2857142857142857,10,0.2
131,2800,Lepomis auritus,Redbreast Sunfish,Centrarchidae,Lepomis,0.46153846153846156,0.6,0.5217391304347826,10,0.6
132,2812,Chaetodon capistratus,Four-eyed Butterflyfish,Chaetodontidae,Chaetodon,0.8,0.8,0.8,10,0.8
133,2836,Eupetrichthys angustipes,Snakeskin Wrasse,Labridae,Eupetrichthys,0.4,0.2,0.26666666666666666,10,0.2
134,2855,Parupeneus spilurus,Blackspot Goatfish,Mullidae,Parupeneus,1.0,0.5,0.6666666666666666,10,0.5
135,2858,Perca flavescens,Yellow Perch,Percidae,Perca,0.3076923076923077,0.4,0.34782608695652173,10,0.4
136,2866,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,Pomacentridae,Abudefduf,1.0,0.5,0.6666666666666666,10,0.5
137,2878,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,0.45454545454545453,0.5,0.47619047619047616,10,0.5
138,2884,Paralabrax clathratus,Kelp Bass,Serranidae,Paralabrax,0.15384615384615385,0.4,0.2222222222222222,10,0.4
139,2914,Plotosus lineatus,Striped Eel Catfish,Plotosidae,Plotosus,0.3125,0.5,0.38461538461538464,10,0.5
140,2919,Hippocampus histrix,Spiny Seahorse,Syngnathidae,Hippocampus,0.35714285714285715,0.5,0.4166666666666667,10,0.5
141,2973,Pristimantis achatinus,Cachabi Robber Frog,Craugastoridae,Pristimantis,0.6666666666666666,0.2,0.3076923076923077,10,0.2
142,3014,Litoria fallax,Eastern Dwarf Treefrog,Pelodryadidae,Litoria,0.3157894736842105,0.6,0.41379310344827586,10,0.6
143,3040,Rana aurora,Northern Red-legged Frog,Ranidae,Rana,0.06666666666666667,0.4,0.11428571428571428,10,0.4
144,3070,Aneides aeneus,Green Salamander,Plethodontidae,Aneides,0.5,0.6,0.5454545454545454,10,0.6
145,3107,Triturus carnifex,Italian Crested Newt,Salamandridae,Triturus,0.0,0.0,0.0,10,0.0
146,3120,Aquila heliaca,Imperial Eagle,Accipitridae,Aquila,0.3157894736842105,0.6,0.41379310344827586,10,0.6
147,3177,Pernis apivorus,European Honey-buzzard,Accipitridae,Pernis,0.0,0.0,0.0,10,0.0
148,3199,Anas georgica,Yellow-billed Pintail,Anatidae,Anas,0.5555555555555556,0.5,0.5263157894736842,10,0.5
149,3244,Cygnus olor,Mute Swan,Anatidae,Cygnus,0.2631578947368421,0.5,0.3448275862068966,10,0.5
150,3258,Melanitta perspicillata,Surf Scoter,Anatidae,Melanitta,0.38461538461538464,0.5,0.43478260869565216,10,0.5
151,3259,Mergellus albellus,Smew,Anatidae,Mergellus,0.25,0.1,0.14285714285714285,10,0.1
152,3260,Mergus merganser,Common Merganser,Anatidae,Mergus,1.0,0.2,0.3333333333333333,10,0.2
153,3306,Archilochus alexandri,Black-chinned Hummingbird,Trochilidae,Archilochus,0.5,0.1,0.16666666666666666,10,0.1
154,3321,Heliodoxa jacula,Green-crowned Brilliant,Trochilidae,Heliodoxa,0.5,0.7,0.5833333333333334,10,0.7
155,3358,Charadrius obscurus,Red-breasted Dotterel,Charadriidae,Charadrius,0.23333333333333334,0.7,0.35,10,0.7
156,3364,Charadrius wilsonia,Wilson's Plover,Charadriidae,Charadrius,0.8571428571428571,0.6,0.7058823529411765,10,0.6
157,3367,Pluvialis dominica,American Golden-Plover,Charadriidae,Pluvialis,0.23809523809523808,0.5,0.3225806451612903,10,0.5
158,3372,Vanellus coronatus,Crowned Lapwing,Charadriidae,Vanellus,1.0,0.7,0.8235294117647058,10,0.7
159,3385,Haematopus palliatus,American Oystercatcher,Haematopodidae,Haematopus,0.2727272727272727,0.3,0.2857142857142857,10,0.3
160,3398,Chroicocephalus hartlaubii,Hartlaub's Gull,Laridae,Chroicocephalus,0.0,0.0,0.0,10,0.0
161,3402,Chroicocephalus ridibundus,Black-headed Gull,Laridae,Chroicocephalus,0.0,0.0,0.0,10,0.0
162,3410,Larus cachinnans,Caspian Gull,Laridae,Larus,0.17647058823529413,0.3,0.2222222222222222,10,0.3
163,3417,Larus glaucescens,Glaucous-winged Gull,Laridae,Larus,0.26666666666666666,0.4,0.32,10,0.4
164,3481,Numenius madagascariensis,Far Eastern Curlew,Scolopacidae,Numenius,0.75,0.3,0.42857142857142855,10,0.3
165,3490,Tringa glareola,Wood Sandpiper,Scolopacidae,Tringa,0.5,0.2,0.2857142857142857,10,0.2
166,3529,Patagioenas flavirostris,Red-billed Pigeon,Columbidae,Patagioenas,0.375,0.3,0.3333333333333333,10,0.3
167,3635,Pavo cristatus,Common Peafowl,Phasianidae,Pavo,1.0,0.5,0.6666666666666666,10,0.5
168,3673,Zapornia flavirostra,Black Crake,Rallidae,Zapornia,0.75,0.9,0.8181818181818182,10,0.9
169,3715,Passerina ciris,Painted Bunting,Cardinalidae,Passerina,0.5,0.3,0.375,10,0.3
170,3719,Pheucticus chrysopeplus,Yellow Grosbeak,Cardinalidae,Pheucticus,0.2857142857142857,0.4,0.3333333333333333,10,0.4
171,3728,Certhia americana,Brown Creeper,Certhiidae,Certhia,0.2631578947368421,0.5,0.3448275862068966,10,0.5
172,3759,Corvus ossifragus,Fish Crow,Corvidae,Corvus,0.0,0.0,0.0,10,0.0
173,3777,Psilorhinus morio,Brown Jay,Corvidae,Psilorhinus,0.5,0.1,0.16666666666666666,10,0.1
174,3778,Pyrrhocorax graculus,Alpine Chough,Corvidae,Pyrrhocorax,0.5,0.1,0.16666666666666666,10,0.1
175,3804,Taeniopygia bichenovii,Double-barred Finch,Estrildidae,Taeniopygia,0.5,0.1,0.16666666666666666,10,0.1
176,3828,Loxia curvirostra,Red Crossbill,Fringillidae,Loxia,0.09375,0.3,0.14285714285714285,10,0.3
177,3849,Hirundo rustica,Barn Swallow,Hirundinidae,Hirundo,0.0,0.0,0.0,10,0.0
178,3859,Riparia riparia,Bank Swallow,Hirundinidae,Riparia,0.0,0.0,0.0,10,0.0
179,3860,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,Hirundinidae,Stelgidopteryx,0.3125,0.5,0.38461538461538464,10,0.5
180,3865,Tachycineta thalassina,Violet-green Swallow,Hirundinidae,Tachycineta,0.5,0.3,0.375,10,0.3
181,3868,Agelaius tricolor,Tricolored Blackbird,Icteridae,Agelaius,0.6666666666666666,0.2,0.3076923076923077,10,0.2
182,3901,Quiscalus quiscula,Common Grackle,Icteridae,Quiscalus,1.0,0.1,0.18181818181818182,10,0.1
183,3938,Ptilotula penicillata,White-plumed Honeyeater,Meliphagidae,Ptilotula,0.25,0.6,0.35294117647058826,10,0.6
