class_index,category_id,species_name,precision,recall,f1,support
181,3868,Agelaius tricolor,0.5,0.4,0.4444444444444444,10
182,3901,Quiscalus quiscula,0.5714285714285714,0.4,0.47058823529411764,10
183,3938,Ptilotula penicillata,0.5,0.7,0.5833333333333334,10
184,3961,Anthus pratensis,0.5714285714285714,0.4,0.47058823529411764,10
185,3990,Oenanthe familiaris,0.5294117647058824,0.9,0.6666666666666666,10
186,4040,Poecile hudsonicus,0.4,0.4,0.4,10
187,4043,Poecile rufescens,0.0,0.0,0.0,10
188,4068,Setophaga cerulea,0.7142857142857143,0.5,0.5882352941176471,10
189,4070,Setophaga citrina,0.7,0.7,0.7,10
190,4073,Setophaga dominica,0.42857142857142855,0.6,0.5,10
191,4084,Setophaga ruticilla,0.3,0.3,0.3,10
192,4089,Vermivora chrysoptera,0.5,0.2,0.2857142857142857,10
193,4099,Calamospiza melanocorys,0.5714285714285714,0.4,0.47058823529411764,10
194,4100,Centronyx henslowii,0.6363636363636364,0.7,0.6666666666666666,10
195,4118,Pipilo erythrophthalmus,0.5,0.4,0.4444444444444444,10
196,4138,Eopsaltria australis,0.6923076923076923,0.9,0.782608695652174,10
197,4142,Petroica macrocephala,0.5833333333333334,0.7,0.6363636363636364,10
198,4178,Regulus ignicapilla,0.375,0.6,0.46153846153846156,10
199,4189,Sitta pusilla,0.6363636363636364,0.7,0.6666666666666666,10
200,4203,Chamaea fasciata,0.45454545454545453,0.5,0.47619047619047616,10
201,4228,Saltator coerulescens,0.2857142857142857,0.4,0.3333333333333333,10
202,4245,Thraupis episcopus,0.8571428571428571,0.6,0.7058823529411765,10
203,4293,Contopus cooperi,0.5,0.4,0.4444444444444444,10
204,4295,Contopus sordidulus,0.4444444444444444,0.4,0.42105263157894735,10
205,4302,Empidonax hammondii,0.38461538461538464,0.5,0.43478260869565216,10
206,4308,Fluvicola nengeta,0.8571428571428571,0.6,0.7058823529411765,10
207,4313,Myiarchus cinerascens,0.38461538461538464,0.5,0.43478260869565216,10
208,4350,Zosterops japonicus,0.2727272727272727,0.3,0.2857142857142857,10
209,4352,Zosterops palpebrosus,0.2857142857142857,0.2,0.23529411764705882,10
210,4372,Cochlearius cochlearius,0.8,0.8,0.8,10
211,4386,Nycticorax nycticorax,0.4444444444444444,0.4,0.42105263157894735,10
212,4391,Pelecanus crispus,0.4,0.4,0.4,10
213,4419,Phoenicopterus ruber,0.6363636363636364,0.7,0.6666666666666666,10
214,4442,Dryobates pubescens,0.5714285714285714,0.4,0.47058823529411764,10
215,4553,Megascops asio,0.4444444444444444,0.4,0.42105263157894735,10
216,4578,Phalacrocorax pelagicus,0.6666666666666666,0.2,0.3076923076923077,10
217,4579,Phalacrocorax penicillatus,0.5384615384615384,0.7,0.6086956521739131,10
218,4596,Trogon rufus,0.7777777777777778,0.7,0.7368421052631579,10
219,4609,Ginglymostoma cirratum,0.5714285714285714,0.8,0.6666666666666666,10
220,4632,Oreotragus oreotragus,0.7272727272727273,0.8,0.7619047619047619,10
221,4641,Tragelaphus oryx,0.7142857142857143,0.5,0.5882352941176471,10
222,4654,Odocoileus virginianus,0.5555555555555556,0.5,0.5263157894736842,10
223,4671,Canis lupus,0.3,0.3,0.3,10
224,4673,Lycalopex culpaeus,0.6153846153846154,0.8,0.6956521739130435,10
225,4680,Lynx canadensis,0.5,0.4,0.4444444444444444,10
226,4690,Mephitis macroura,0.7,0.7,0.7,10
227,4708,Phocarctos hookeri,0.45454545454545453,0.5,0.47619047619047616,10
228,4732,Galeopterus variegatus,0.7692307692307693,1.0,0.8695652173913043,10
229,4736,Macropus fuliginosus,0.625,1.0,0.7692307692307693,10
230,4794,Castor canadensis,0.18181818181818182,0.2,0.19047619047619047,10
231,4801,Myodes glareolus,0.6428571428571429,0.9,0.75,10
232,4833,Marmota monax,0.5,0.8,0.6153846153846154,10
233,4843,Sciurus aureogaster,1.0,0.5,0.6666666666666666,10
234,4860,Caiman crocodilus,0.3,0.3,0.3,10
235,4862,Crocodylus moreletii,0.4666666666666667,0.7,0.56,10
236,4879,Anguis veronensis,0.3333333333333333,0.2,0.25,10
237,4884,Gerrhonotus infernalis,0.375,0.3,0.3333333333333333,10
238,4904,Dendrelaphis pictus,0.6666666666666666,0.4,0.5,10
239,4925,Lampropeltis triangulum,0.6,0.6,0.6,10
240,4964,Tantilla gracilis,0.42857142857142855,0.6,0.5,10
241,4977,Zamenis longissimus,0.3333333333333333,0.2,0.25,10
242,4981,Basiliscus vittatus,0.42857142857142855,0.6,0.5,10
243,4995,Micrurus tener,0.625,0.5,0.5555555555555556,10
244,5016,Iguana iguana,0.875,0.7,0.7777777777777778,10
245,5028,Pseudaspis cana,0.3333333333333333,0.3,0.3157894736842105,10
246,5080,Plestiodon obsoletus,0.6363636363636364,0.7,0.6666666666666666,10
247,5118,Crotalus oreganus,0.16666666666666666,0.1,0.125,10
248,5124,Sistrurus catenatus,0.3333333333333333,0.3,0.3157894736842105,10
249,5172,Actinia equina,0.8181818181818182,0.9,0.8571428571428571,10
250,5220,Clinocardium nuttallii,0.6923076923076923,0.9,0.782608695652174,10
251,5273,Aliger gigas,0.8333333333333334,0.5,0.625,10
252,5277,Buccinum undatum,0.5454545454545454,0.6,0.5714285714285714,10
253,5283,Californiconus californicus,0.5454545454545454,0.6,0.5714285714285714,10
254,5291,Americoliva sayana,0.6666666666666666,0.8,0.7272727272727273,10
255,5312,Phidiana hiltoni,0.8181818181818182,0.9,0.8571428571428571,10
256,5323,Phyllidia varicosa,1.0,1.0,1.0,10
257,5330,Rumina decollata,0.35714285714285715,0.5,0.4166666666666667,10
258,5347,Cepaea hortensis,0.6,0.6,0.6,10
259,5350,Helix lucorum,0.8,0.8,0.8,10
260,5387,Tonicella lineata,1.0,0.8,0.8888888888888888,10
261,5433,Peltigera praetextata,0.8181818181818182,0.9,0.8571428571428571,10
262,5441,Teloschistes flavicans,0.8181818181818182,0.9,0.8571428571428571,10
263,5445,Umbilicaria mammulata,1.0,0.8,0.8888888888888888,10
264,5474,Agaricus xanthodermus,0.5,0.4,0.4444444444444444,10
265,5477,Chlorophyllum molybdites,0.8,0.8,0.8,10
266,5498,Amanita rubescens,1.0,0.8,0.8888888888888888,10
267,5523,Lichenomphalia umbellifera,0.8888888888888888,0.8,0.8421052631578947,10
268,5541,Roridomyces austrororidus,0.8,0.8,0.8,10
269,5599,Chalciporus piperatus,0.7142857142857143,1.0,0.8333333333333334,10
270,5633,Turbinellus floccosus,0.7777777777777778,0.7,0.7368421052631579,10
271,5648,Phallus impudicus,0.7777777777777778,0.7,0.7368421052631579,10
272,5676,Fomes fomentarius,0.8888888888888888,0.8,0.8421052631578947,10
273,5700,Hericium americanum,0.9090909090909091,1.0,0.9523809523809523,10
274,5714,Xylobolus frustulatus,0.6923076923076923,0.9,0.782608695652174,10
275,5734,Rhizomnium glabrescens,0.6666666666666666,0.6,0.631578947368421,10
276,5756,Thuidium delicatulum,0.8181818181818182,0.9,0.8571428571428571,10
277,5764,Codium fragile,0.75,0.9,0.8181818181818182,10
278,5769,Radula complanata,0.75,0.9,0.8181818181818182,10
279,5783,Ephedra trifurca,0.7,0.7,0.7,10
280,5824,Cocos nucifera,0.7272727272727273,0.8,0.7619047619047619,10
281,5837,Allium cernuum,0.5714285714285714,0.4,0.47058823529411764,10
282,5856,Hymenocallis liriosme,0.9,0.9,0.9,10
283,5878,Asparagus acutifolius,0.5714285714285714,0.4,0.47058823529411764,10
284,5881,Asparagus officinalis,0.6666666666666666,0.6,0.631578947368421,10
285,5887,Camassia quamash,0.75,0.9,0.8181818181818182,10
286,5916,Muscari neglectum,0.7272727272727273,0.8,0.7619047619047619,10
287,5948,Asphodelus ramosus,1.0,0.8,0.8888888888888888,10
288,5952,Phormium cookianum,0.625,0.5,0.5555555555555556,10
289,5962,Crocus vernus,0.75,0.9,0.8181818181818182,10
290,6005,Cephalanthera rubra,0.6,0.6,0.6,10
291,6018,Dactylorhiza fuchsii,1.0,0.7,0.8235294117647058,10
292,6042,Goodyera tesselata,0.6666666666666666,0.4,0.5,10
293,6054,Neottia nidus-avis,0.8181818181818182,0.9,0.8571428571428571,10
294,6060,Ophrys insectifera,0.875,0.7,0.7777777777777778,10
295,6094,Spathoglottis plicata,0.6923076923076923,0.9,0.782608695652174,10
296,6097,Spiranthes lacera,0.9,0.9,0.9,10
297,6157,Erythronium oregonum,0.7272727272727273,0.8,0.7619047619047619,10
298,6165,Fritillaria recurva,0.8888888888888888,0.8,0.8421052631578947,10
299,6168,Lilium bulbiferum,0.8888888888888888,0.8,0.8421052631578947,10
300,6176,Lilium pardalinum,0.9,0.9,0.9,10
301,6202,Trillium nivale,0.8,0.8,0.8,10
302,6206,Trillium undulatum,0.6923076923076923,0.9,0.782608695652174,10
303,6215,Smilax glauca,0.16666666666666666,0.2,0.18181818181818182,10
304,6238,Carex digitata,0.5,0.6,0.5454545454545454,10
305,6295,Schoenoplectus pungens,0.7272727272727273,0.8,0.7619047619047619,10
306,6407,Paspalum dilatatum,0.4,0.4,0.4,10
307,6416,Poa annua,0.2857142857142857,0.2,0.23529411764705882,10
308,6425,Setaria viridis,0.6153846153846154,0.8,0.6956521739130435,10
309,6431,Stenotaphrum secundatum,0.46153846153846156,0.6,0.5217391304347826,10
310,6433,Themeda triandra,0.6,0.9,0.72,10
311,6461,Dendrolycopodium obscurum,0.75,0.6,0.6666666666666666,10
312,6492,Chaerophyllum aromaticum,0.42857142857142855,0.3,0.35294117647058826,10
313,6543,Torilis japonica,0.4444444444444444,0.4,0.42105263157894735,10
314,6554,Fatsia japonica,0.5555555555555556,0.5,0.5263157894736842,10
