class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
112,2262,Platynota rostrana,Omnivorous Platynota Moth,Tortricidae,Platynota,1.0,1.0,1.0,10,1.0
113,2284,Orthodera ministralis,Australian Green Mantis,Mantidae,Orthodera,0.4166666666666667,0.5,0.45454545454545453,10,0.5
114,2297,Chrysopa oculata,Chrysopa oculata,Chrysopidae,Chrysopa,0.9,0.9,0.9,10,0.9
115,2303,Libelloides coccajus,Owly Sulphur,Myrmeleontidae,Libelloides,1.0,0.9,0.9473684210526315,10,0.9
116,2332,Calopteryx maculata,Ebony Jewelwing,Calopterygidae,Calopteryx,0.8571428571428571,0.6,0.7058823529411765,10,0.6
117,2369,Enallagma cyathigerum,Common Blue Damselfly,Coenagrionidae,Enallagma,0.5454545454545454,0.6,0.5714285714285714,10,0.6
118,2375,Enallagma geminatum,Skimming Bluet,Coenagrionidae,Enallagma,0.6666666666666666,0.4,0.5,10,0.4
119,2427,Erpetogomphus designatus,Eastern Ringtail,Gomphidae,Erpetogomphus,0.6428571428571429,0.9,0.75,10,0.9
120,2432,Hagenius brevistylus,Dragonhunter,Gomphidae,Hagenius,0.5714285714285714,0.8,0.6666666666666666,10,0.8
121,2463,Lestes virens,Small Spreadwing,Lestidae,Lestes,1.0,0.8,0.8888888888888888,10,0.8
122,2527,Neurothemis taiwanensis,Neurothemis taiwanensis,Libellulidae,Neurothemis,0.9,0.9,0.9,10,0.9
123,2628,Pseudochorthippus curtipennis,Marsh meadow grasshopper,Acrididae,Pseudochorthippus,0.2222222222222222,0.2,0.21052631578947367,10,0.2
124,2633,Schistocerca obscura,Obscure Bird Grasshopper,Acrididae,Schistocerca,0.6,0.6,0.6,10,0.6
125,2668,Conocephalus fuscus,Long-winged Conehead,Tettigoniidae,Conocephalus,0.5,0.4,0.4444444444444444,10,0.4
126,2702,Faxonius virilis,Virile Crayfish,Cambaridae,Faxonius,0.75,0.6,0.6666666666666666,10,0.6
127,2736,Petrolisthes elongatus,New Zealand Half Crab,Porcellanidae,Petrolisthes,0.8,0.8,0.8,10,0.8
128,2769,Pimephales notatus,Bluntnose Minnow,Cyprinidae,Pimephales,0.6923076923076923,0.9,0.782608695652174,10,0.9
129,2770,Rhinichthys atratulus,Blacknose Dace,Cyprinidae,Rhinichthys,0.6666666666666666,0.6,0.631578947368421,10,0.6
130,2773,Squalius cephalus,Chub,Cyprinidae,Squalius,0.5,0.7,0.5833333333333334,10,0.7
131,2800,Lepomis auritus,Redbreast Sunfish,Centrarchidae,Lepomis,0.75,0.6,0.6666666666666666,10,0.6
132,2812,Chaetodon capistratus,Four-eyed Butterflyfish,Chaetodontidae,Chaetodon,0.9,0.9,0.9,10,0.9
133,2836,Eupetrichthys angustipes,Snakeskin Wrasse,Labridae,Eupetrichthys,0.6666666666666666,0.6,0.631578947368421,10,0.6
